"","pokedex_number","name","generation","category","egg_group_1","egg_group_2","has_egg_group_2","color","body_style","height_m","weight_kg","has_mega_evolution","catch_rate","base_egg_steps","base_friendship","experience_growth","type_1","type_2","has_type_2","is_legendary","hp","attack","defense","sp_attack","sp_defense","speed","total","gender","individual_ability"
"19",19,"Rattata",1,"Mouse Pokémon","Field","none","FALSE","Purple","quadruped",0.3,3.5,"False",255,3840,70,1000000,"normal","dark","TRUE","FALSE",30,56,35,25,35,72,253,"female","Guts"
"20",20,"Raticate",1,"Mouse Pokémon","Field","none","FALSE","Brown","quadruped",0.71,18.5,"False",127,3840,70,1000000,"normal","dark","TRUE","FALSE",67,71,70,40,80,84,412,"female","Hustle"
"21",21,"Spearow",1,"Tiny Bird Pokémon","Flying","none","FALSE","Brown","two_wings",0.3,2,"False",255,3840,70,1000000,"normal","flying","TRUE","FALSE",44,54,30,31,31,70,260,"female","Keen Eye"
"22",22,"Fearow",1,"Beak Pokémon","Flying","none","FALSE","Brown","two_wings",1.19,38,"False",90,3840,70,1000000,"normal","flying","TRUE","FALSE",65,90,58,61,67,100,441,"male","Sniper"
"23",23,"Ekans",1,"Snake Pokémon","Field","Dragon","TRUE","Purple","serpentine_body",2.01,6.9,"False",255,5120,70,1000000,"poison","none","FALSE","FALSE",35,60,44,40,54,55,288,"male","Unnerve"
"24",24,"Arbok",1,"Cobra Pokémon","Field","Dragon","TRUE","Purple","serpentine_body",3.51,65,"False",90,5120,70,1000000,"poison","none","FALSE","FALSE",60,95,69,65,79,80,448,"male","Unnerve"
"25",25,"Pikachu",1,"Mouse Pokémon","Field","Fairy","TRUE","Yellow","quadruped",0.41,6,"False",190,2560,70,1000000,"electric","none","FALSE","FALSE",35,55,40,50,55,81,316,"male","Static"
"26",26,"Raichu",1,"Mouse Pokémon","Field","Fairy","TRUE","Yellow","bipedal_tailed",0.79,30,"False",75,2560,70,1000000,"electric","electric","TRUE","FALSE",60,85,50,95,85,110,485,"female","Lightningrod"
"27",27,"Sandshrew",1,"Mouse Pokémon","Field","none","FALSE","Yellow","bipedal_tailed",0.61,12,"False",255,5120,70,1000000,"ground","ice","TRUE","FALSE",50,67,90,11,35,40,293,"female","Sand Veil"
"28",28,"Sandslash",1,"Mouse Pokémon","Field","none","FALSE","Yellow","bipedal_tailed",0.99,29.5,"False",90,5120,70,1000000,"ground","ice","TRUE","FALSE",75,100,132,25,65,58,455,"male","Sand Veil"
"29",29,"Nidoran♀",1,"Poison Pin Pokémon","Monster","Field","TRUE","Blue","quadruped",0.41,7,"False",235,5120,70,1059860,"poison","none","FALSE","FALSE",55,51,52,36,40,41,275,"female","Rivalry"
"30",30,"Nidorina",1,"Poison Pin Pokémon","Undiscovered","none","FALSE","Blue","quadruped",0.79,20,"False",120,5120,70,1059860,"poison","none","FALSE","FALSE",70,62,73,55,55,50,365,"female","Hustle"
"31",31,"Nidoqueen",1,"Drill Pokémon","Undiscovered","none","FALSE","Blue","bipedal_tailed",1.3,60,"False",45,5120,70,1059860,"poison","ground","TRUE","FALSE",90,92,78,75,93,76,504,"female","Sheer Force"
"32",32,"Nidoran♂",1,"Poison Pin Pokémon","Monster","Field","TRUE","Purple","quadruped",0.51,9,"False",235,5120,70,1059860,"poison","none","FALSE","FALSE",46,57,40,36,44,50,273,"male","Hustle"
"33",33,"Nidorino",1,"Poison Pin Pokémon","Monster","Field","TRUE","Purple","quadruped",0.89,19.5,"False",120,5120,70,1059860,"poison","none","FALSE","FALSE",61,79,57,55,49,65,366,"male","Hustle"
"34",34,"Nidoking",1,"Drill Pokémon","Monster","Field","TRUE","Purple","bipedal_tailed",1.4,62,"False",45,5120,70,1059860,"poison","ground","TRUE","FALSE",81,102,77,93,75,76,504,"male","Rivalry"
"35",35,"Clefairy",1,"Fairy Pokémon","Fairy","none","FALSE","Pink","bipedal_tailed",0.61,7.5,"False",150,2560,140,800000,"fairy","none","FALSE","FALSE",70,45,48,60,65,35,323,"female","Magic Guard"
"36",36,"Clefable",1,"Fairy Pokémon","Fairy","none","FALSE","Pink","bipedal_tailed",1.3,40,"False",25,2560,140,800000,"fairy","none","FALSE","FALSE",95,70,73,95,90,60,483,"male","Magic Guard"
"37",37,"Vulpix",1,"Fox Pokémon","Field","none","FALSE","Brown","quadruped",0.61,9.9,"False",190,5120,70,1000000,"fire","ice","TRUE","FALSE",41,36,40,50,65,65,297,"female","Flash Fire"
"38",38,"Ninetales",1,"Fox Pokémon","Field","none","FALSE","Yellow","quadruped",1.09,19.9,"False",75,5120,70,1000000,"fire","ice","TRUE","FALSE",80,67,75,81,100,98,501,"female","Snow Cloak"
"39",39,"Jigglypuff",1,"Balloon Pokémon","Fairy","none","FALSE","Pink","bipedal_tailless",0.51,5.5,"False",170,2560,70,800000,"normal","fairy","TRUE","FALSE",115,45,20,40,27,20,267,"female","Competitive"
"40",40,"Wigglytuff",1,"Balloon Pokémon","Fairy","none","FALSE","Pink","bipedal_tailless",0.99,12,"False",50,2560,70,800000,"normal","fairy","TRUE","FALSE",140,70,45,85,50,45,435,"male","Cute Charm"
"41",41,"Zubat",1,"Bat Pokémon","Flying","none","FALSE","Purple","two_wings",0.79,7.5,"False",255,3840,70,1000000,"poison","flying","TRUE","FALSE",40,45,35,30,36,60,246,"male","Infiltrator"
"42",42,"Golbat",1,"Bat Pokémon","Flying","none","FALSE","Purple","two_wings",1.6,55,"False",90,3840,70,1000000,"poison","flying","TRUE","FALSE",75,80,70,71,75,81,452,"female","Infiltrator"
"43",43,"Oddish",1,"Weed Pokémon","Grass","none","FALSE","Blue","head_legs",0.51,5.4,"False",255,5120,70,1059860,"grass","poison","TRUE","FALSE",45,50,55,67,65,33,315,"male","Run Away"
"44",44,"Gloom",1,"Weed Pokémon","Grass","none","FALSE","Blue","bipedal_tailless",0.79,8.6,"False",120,5120,70,1059860,"grass","poison","TRUE","FALSE",60,58,77,85,75,40,395,"female","Chlorophyll"
"45",45,"Vileplume",1,"Flower Pokémon","Grass","none","FALSE","Red","bipedal_tailless",1.19,18.6,"False",45,5120,70,1059860,"grass","poison","TRUE","FALSE",75,72,85,110,90,55,487,"female","Chlorophyll"
"46",46,"Paras",1,"Mushroom Pokémon","Bug","Grass","TRUE","Red","insectoid",0.3,5.4,"False",190,5120,70,1000000,"bug","grass","TRUE","FALSE",38,70,55,45,49,25,282,"female","Damp"
"47",47,"Parasect",1,"Mushroom Pokémon","Bug","Grass","TRUE","Red","insectoid",0.99,29.5,"False",75,5120,70,1000000,"bug","grass","TRUE","FALSE",60,95,88,60,72,30,405,"female","Effect Spore"
"48",48,"Venonat",1,"Insect Pokémon","Bug","none","FALSE","Purple","bipedal_tailless",0.99,30,"False",190,5120,70,1000000,"bug","poison","TRUE","FALSE",60,55,45,40,60,45,305,"male","Compoundeyes"
"49",49,"Venomoth",1,"Poison Moth Pokémon","Bug","none","FALSE","Purple","four_wings",1.5,12.5,"False",75,5120,70,1000000,"bug","poison","TRUE","FALSE",63,65,60,90,75,99,452,"male","Tinted Lens"
"50",50,"Diglett",1,"Mole Pokémon","Field","none","FALSE","Brown","head_base",0.2,0.8,"False",255,5120,70,1000000,"ground","ground","TRUE","FALSE",10,49,30,35,49,90,263,"male","Sand Veil"
"51",51,"Dugtrio",1,"Mole Pokémon","Field","none","FALSE","Brown","multiple_bodies",0.71,33.3,"False",50,5120,70,1000000,"ground","ground","TRUE","FALSE",31,100,66,50,70,110,427,"male","Tangling Hair"
"52",52,"Meowth",1,"Scratch Cat Pokémon","Field","none","FALSE","Yellow","quadruped",0.41,4.2,"False",255,5120,70,1000000,"normal","dark","TRUE","FALSE",40,35,35,45,44,90,289,"female","Pickup"
"53",53,"Persian",1,"Classy Cat Pokémon","Field","none","FALSE","Yellow","quadruped",0.99,32,"False",90,5120,70,1000000,"normal","dark","TRUE","FALSE",65,60,60,75,65,115,440,"female","Rattled"
"54",54,"Psyduck",1,"Duck Pokémon","Water_1","Field","TRUE","Yellow","bipedal_tailed",0.79,19.6,"False",190,5120,70,1000000,"water","none","FALSE","FALSE",45,52,48,71,50,55,321,"male","Swift Swim"
"55",55,"Golduck",1,"Duck Pokémon","Water_1","Field","TRUE","Blue","bipedal_tailed",1.7,76.6,"False",75,5120,70,1000000,"water","none","FALSE","FALSE",88,73,78,95,80,85,499,"male","Swift Swim"
"56",56,"Mankey",1,"Pig Monkey Pokémon","Field","none","FALSE","Brown","bipedal_tailed",0.51,28,"False",190,5120,70,1000000,"fighting","none","FALSE","FALSE",40,72,35,35,45,77,304,"male","Anger Point"
"57",57,"Primeape",1,"Pig Monkey Pokémon","Field","none","FALSE","Brown","bipedal_tailed",0.99,32,"False",75,5120,70,1000000,"fighting","none","FALSE","FALSE",65,105,60,54,77,95,456,"female","Defiant"
"58",58,"Growlithe",1,"Puppy Pokémon","Field","none","FALSE","Brown","quadruped",0.71,19,"False",190,5120,70,1250000,"fire","none","FALSE","FALSE",55,63,45,70,50,66,349,"female","Justified"
"59",59,"Arcanine",1,"Legendary Pokémon","Field","none","FALSE","Brown","quadruped",1.91,155,"False",75,5120,70,1250000,"fire","none","FALSE","FALSE",90,110,80,110,72,95,557,"female","Intimidate"
"60",60,"Poliwag",1,"Tadpole Pokémon","Water_1","none","FALSE","Blue","head_legs",0.61,12.4,"False",255,5120,70,1059860,"water","none","FALSE","FALSE",40,50,40,40,40,90,300,"male","Water Absorb"
"61",61,"Poliwhirl",1,"Tadpole Pokémon","Water_1","none","FALSE","Blue","bipedal_tailless",0.99,20,"False",120,5120,70,1059860,"water","none","FALSE","FALSE",65,58,65,55,50,90,383,"male","Swift Swim"
"62",62,"Poliwrath",1,"Tadpole Pokémon","Water_1","none","FALSE","Blue","bipedal_tailless",1.3,54,"False",45,5120,70,1059860,"water","fighting","TRUE","FALSE",90,85,95,70,90,77,507,"female","Swift Swim"
"63",63,"Abra",1,"Psi Pokémon","Human-Like","none","FALSE","Brown","bipedal_tailed",0.89,19.5,"False",200,5120,70,1059860,"psychic","none","FALSE","FALSE",25,20,13,105,60,90,313,"male","Inner Focus"
"64",64,"Kadabra",1,"Psi Pokémon","Human-Like","none","FALSE","Brown","bipedal_tailed",1.3,56.5,"False",100,5120,70,1059860,"psychic","none","FALSE","FALSE",40,35,30,132,63,105,405,"male","Magic Guard"
"65",65,"Alakazam",1,"Psi Pokémon","Human-Like","none","FALSE","Brown","bipedal_tailless",1.5,48,"True",50,5120,70,1059860,"psychic","none","FALSE","FALSE",55,45,65,175,115,150,605,"male","Magic Guard"
"66",66,"Machop",1,"Superpower Pokémon","Human-Like","none","FALSE","Grey","bipedal_tailed",0.79,19.5,"False",180,5120,70,1059860,"fighting","none","FALSE","FALSE",77,80,45,35,35,35,307,"female","Steadfast"
"67",67,"Machoke",1,"Superpower Pokémon","Human-Like","none","FALSE","Grey","bipedal_tailless",1.5,70.5,"False",90,5120,70,1059860,"fighting","none","FALSE","FALSE",80,100,63,50,66,45,404,"male","Steadfast"
"68",68,"Machamp",1,"Superpower Pokémon","Human-Like","none","FALSE","Grey","bipedal_tailless",1.6,130,"False",45,5120,70,1059860,"fighting","none","FALSE","FALSE",81,130,88,65,85,55,504,"male","No Guard"
"69",69,"Bellsprout",1,"Flower Pokémon","Grass","none","FALSE","Green","bipedal_tailless",0.71,4,"False",255,5120,70,1059860,"grass","poison","TRUE","FALSE",55,75,31,70,30,40,301,"female","Gluttony"
"70",70,"Weepinbell",1,"Flycatcher Pokémon","Grass","none","FALSE","Green","head_base",0.99,6.4,"False",120,5120,70,1059860,"grass","poison","TRUE","FALSE",65,99,45,85,45,55,394,"male","Chlorophyll"
"71",71,"Victreebel",1,"Flycatcher Pokémon","Grass","none","FALSE","Green","head_base",1.7,15.5,"False",45,5120,70,1059860,"grass","poison","TRUE","FALSE",80,115,65,100,63,70,493,"male","Gluttony"
"72",72,"Tentacool",1,"Jellyfish Pokémon","Water_3","none","FALSE","Blue","several_limbs",0.89,45.5,"False",190,5120,70,1250000,"water","poison","TRUE","FALSE",40,40,35,55,100,63,333,"female","Rain Dish"
"73",73,"Tentacruel",1,"Jellyfish Pokémon","Water_3","none","FALSE","Blue","several_limbs",1.6,55,"False",60,5120,70,1250000,"water","poison","TRUE","FALSE",80,70,65,80,132,90,517,"male","Clear Body"
"74",74,"Geodude",1,"Rock Pokémon","Mineral","none","FALSE","Brown","head_arms",0.41,20,"False",255,3840,70,1059860,"rock","ground","TRUE","FALSE",40,80,90,30,30,22,292,"female","Sand Veil"
"75",75,"Graveler",1,"Rock Pokémon","Mineral","none","FALSE","Brown","bipedal_tailless",0.99,105,"False",120,3840,70,1059860,"rock","ground","TRUE","FALSE",55,95,115,40,45,38,388,"female","Magnet Pull"
"76",76,"Golem",1,"Megaton Pokémon","Mineral","none","FALSE","Brown","bipedal_tailless",1.4,300,"False",45,3840,70,1059860,"rock","ground","TRUE","FALSE",72,120,130,55,65,49,491,"male","Magnet Pull"
"77",77,"Ponyta",1,"Fire Horse Pokémon","Field","none","FALSE","Yellow","quadruped",0.99,30,"False",190,5120,70,1000000,"fire","none","FALSE","FALSE",50,85,55,65,58,99,412,"female","Run Away"
"78",78,"Rapidash",1,"Fire Horse Pokémon","Field","none","FALSE","Yellow","quadruped",1.7,95,"False",60,5120,70,1000000,"fire","none","FALSE","FALSE",65,100,70,80,72,115,502,"male","Run Away"
"79",79,"Slowpoke",1,"Dopey Pokémon","Monster","Water_1","TRUE","Pink","quadruped",1.19,36,"False",190,5120,70,1000000,"water","psychic","TRUE","FALSE",90,58,65,40,44,15,312,"male","Oblivious"
"80",80,"Slowbro",1,"Hermit Crab Pokémon","Monster","Water_1","TRUE","Pink","bipedal_tailed",1.6,78.5,"True",75,5120,70,1000000,"water","psychic","TRUE","FALSE",95,75,180,117,80,33,580,"female","Oblivious"
"81",81,"Magnemite",1,"Magnet Pokémon","Mineral","none","FALSE","Grey","head_arms",0.3,6,"False",190,5120,70,1000000,"electric","steel","TRUE","FALSE",27,35,70,95,55,40,322,"genderless","Sturdy"
"82",82,"Magneton",1,"Magnet Pokémon","Mineral","none","FALSE","Grey","multiple_bodies",0.99,60,"False",60,5120,70,1000000,"electric","steel","TRUE","FALSE",50,60,95,120,70,70,465,"genderless","Analytic"
"83",83,"Farfetch'd",1,"Wild Duck Pokémon","Flying","Field","TRUE","Brown","two_wings",0.79,15,"False",45,5120,70,1000000,"normal","flying","TRUE","FALSE",52,90,60,52,62,60,376,"male","Keen Eye"
"84",84,"Doduo",1,"Twin Bird Pokémon","Flying","none","FALSE","Brown","head_legs",1.4,39.2,"False",190,5120,70,1000000,"normal","flying","TRUE","FALSE",35,85,45,38,35,67,305,"male","Tangled Feet"
"85",85,"Dodrio",1,"Triple Bird Pokémon","Flying","none","FALSE","Brown","head_legs",1.8,85.2,"False",45,5120,70,1000000,"normal","flying","TRUE","FALSE",60,110,77,60,54,110,471,"female","Early Bird"
"86",86,"Seel",1,"Sea Lion Pokémon","Water_1","Field","TRUE","White","with_fins",1.09,90,"False",190,5120,70,1000000,"water","none","FALSE","FALSE",58,45,60,45,70,45,323,"female","Hydration"
"87",87,"Dewgong",1,"Sea Lion Pokémon","Water_1","Field","TRUE","White","with_fins",1.7,120,"False",75,5120,70,1000000,"water","ice","TRUE","FALSE",90,77,80,63,95,70,475,"male","Hydration"
"88",88,"Grimer",1,"Sludge Pokémon","Amorphous","none","FALSE","Purple","head_arms",0.89,30,"False",190,5120,70,1000000,"poison","poison","TRUE","FALSE",80,80,55,36,50,25,326,"male","Sticky Hold"
"89",89,"Muk",1,"Sludge Pokémon","Amorphous","none","FALSE","Purple","head_arms",1.19,30,"False",75,5120,70,1000000,"poison","poison","TRUE","FALSE",105,105,75,71,90,50,496,"female","Power of Alchemy"
"90",90,"Shellder",1,"Bivalve Pokémon","Water_3","none","FALSE","Purple","head_only",0.3,4,"False",190,5120,70,1250000,"water","none","FALSE","FALSE",30,65,100,45,22,44,306,"female","Overcoat"
"91",91,"Cloyster",1,"Bivalve Pokémon","Water_3","none","FALSE","Purple","head_only",1.5,132.5,"False",60,5120,70,1250000,"water","ice","TRUE","FALSE",55,95,180,85,45,63,523,"female","Overcoat"
"92",92,"Gastly",1,"Gas Pokémon","Amorphous","none","FALSE","Purple","head_only",1.3,0.1,"False",190,5120,70,1059860,"ghost","poison","TRUE","FALSE",30,35,30,100,35,80,310,"female","Levitate"
"93",93,"Haunter",1,"Gas Pokémon","Amorphous","none","FALSE","Purple","head_arms",1.6,0.1,"False",90,5120,70,1059860,"ghost","poison","TRUE","FALSE",45,45,49,115,55,95,404,"female","Levitate"
"94",94,"Gengar",1,"Shadow Pokémon","Amorphous","none","FALSE","Purple","bipedal_tailed",1.5,40.5,"True",45,5120,70,1059860,"ghost","poison","TRUE","FALSE",60,58,80,170,95,143,606,"female","Cursed Body"
"95",95,"Onix",1,"Rock Snake Pokémon","Mineral","none","FALSE","Grey","serpentine_body",8.79,210,"False",45,6400,70,1000000,"rock","ground","TRUE","FALSE",35,45,144,33,45,70,372,"female","Rock Head"
"96",96,"Drowzee",1,"Hypnosis Pokémon","Human-Like","none","FALSE","Yellow","bipedal_tailless",0.99,32.4,"False",190,5120,70,1000000,"psychic","none","FALSE","FALSE",54,52,45,43,90,42,326,"female","Forewarn"
"97",97,"Hypno",1,"Hypnosis Pokémon","Human-Like","none","FALSE","Yellow","bipedal_tailless",1.6,75.6,"False",75,5120,70,1000000,"psychic","none","FALSE","FALSE",85,73,77,73,115,60,483,"male","Inner Focus"
"98",98,"Krabby",1,"River Crab Pokémon","Water_3","none","FALSE","Red","insectoid",0.41,6.5,"False",225,5120,70,1000000,"water","none","FALSE","FALSE",33,105,90,25,22,50,325,"male","Hyper Cutter"
"99",99,"Kingler",1,"Pincer Pokémon","Water_3","none","FALSE","Red","insectoid",1.3,60,"False",60,5120,70,1000000,"water","none","FALSE","FALSE",55,117,115,50,55,75,467,"female","Shell Armor"
"100",100,"Voltorb",1,"Ball Pokémon","Mineral","none","FALSE","Red","head_only",0.51,10.4,"False",190,5120,70,1000000,"electric","none","FALSE","FALSE",40,30,50,55,55,100,330,"genderless","Static"
"101",101,"Electrode",1,"Ball Pokémon","Mineral","none","FALSE","Red","head_only",1.19,66.6,"False",60,5120,70,1000000,"electric","none","FALSE","FALSE",60,50,70,88,72,150,490,"genderless","Static"
"102",102,"Exeggcute",1,"Egg Pokémon","Grass","none","FALSE","Pink","multiple_bodies",0.41,2.5,"False",90,5120,70,1250000,"grass","psychic","TRUE","FALSE",60,36,80,60,45,44,325,"female","Chlorophyll"
"103",103,"Exeggutor",1,"Coconut Pokémon","Grass","none","FALSE","Yellow","head_legs",2.01,120,"False",45,5120,70,1250000,"grass","psychic","TRUE","FALSE",95,105,93,112,75,45,525,"male","Frisk"
"104",104,"Cubone",1,"Lonely Pokémon","Monster","none","FALSE","Brown","bipedal_tailed",0.41,6.5,"False",190,5120,70,1000000,"ground","none","FALSE","FALSE",45,50,95,40,50,38,318,"female","Rock Head"
"105",105,"Marowak",1,"Bone Keeper Pokémon","Monster","none","FALSE","Brown","bipedal_tailed",0.99,45,"False",75,5120,70,1000000,"ground","fire","TRUE","FALSE",60,80,121,50,72,45,428,"female","Battle Armor"
"106",106,"Hitmonlee",1,"Kicking Pokémon","Human-Like","none","FALSE","Brown","bipedal_tailless",1.5,49.8,"False",45,6400,70,1000000,"fighting","none","FALSE","FALSE",55,120,53,35,99,87,449,"male","Unburden"
"107",107,"Hitmonchan",1,"Punching Pokémon","Human-Like","none","FALSE","Brown","bipedal_tailless",1.4,50.2,"False",45,6400,70,1000000,"fighting","none","FALSE","FALSE",55,94,79,35,110,76,449,"male","Inner Focus"
"108",108,"Lickitung",1,"Licking Pokémon","Monster","none","FALSE","Pink","bipedal_tailed",1.19,65.5,"False",45,5120,70,1000000,"normal","none","FALSE","FALSE",90,55,75,60,75,30,385,"male","Cloud Nine"
"109",109,"Koffing",1,"Poison Gas Pokémon","Amorphous","none","FALSE","Purple","head_only",0.61,1,"False",190,5120,70,1000000,"poison","none","FALSE","FALSE",40,65,104,54,45,35,343,"male","Levitate"
"110",110,"Weezing",1,"Poison Gas Pokémon","Amorphous","none","FALSE","Purple","multiple_bodies",1.19,9.5,"False",60,5120,70,1000000,"poison","none","FALSE","FALSE",65,81,120,93,70,60,489,"female","Levitate"
"111",111,"Rhyhorn",1,"Spikes Pokémon","Monster","Field","TRUE","Grey","quadruped",0.99,115,"False",120,5120,70,1250000,"ground","rock","TRUE","FALSE",80,85,95,33,30,22,345,"female","Lightningrod"
"112",112,"Rhydon",1,"Drill Pokémon","Monster","Field","TRUE","Grey","bipedal_tailed",1.91,120,"False",60,5120,70,1250000,"ground","rock","TRUE","FALSE",105,130,120,40,49,40,484,"male","Rock Head"
"113",113,"Chansey",1,"Egg Pokémon","Fairy","none","FALSE","Pink","bipedal_tailed",1.09,34.6,"False",30,10240,140,800000,"normal","none","FALSE","FALSE",250,5,5,35,115,45,455,"female","Natural Cure"
"114",114,"Tangela",1,"Vine Pokémon","Grass","none","FALSE","Blue","head_legs",0.99,35,"False",45,5120,70,1000000,"grass","none","FALSE","FALSE",65,55,103,100,44,60,427,"female","Chlorophyll"
"115",115,"Kangaskhan",1,"Parent Pokémon","Monster","none","FALSE","Brown","bipedal_tailed",2.21,80,"True",45,5120,70,1000000,"normal","none","FALSE","FALSE",105,137,100,60,100,90,592,"female","Early Bird"
"116",116,"Horsea",1,"Dragon Pokémon","Water_1","Dragon","TRUE","Blue","head_base",0.41,8,"False",225,5120,70,1000000,"water","none","FALSE","FALSE",30,40,70,70,25,60,295,"female","Damp"
"117",117,"Seadra",1,"Dragon Pokémon","Water_1","Dragon","TRUE","Blue","head_base",1.19,25,"False",75,5120,70,1000000,"water","none","FALSE","FALSE",55,65,95,104,40,85,444,"male","Poison Point"
"118",118,"Goldeen",1,"Goldfish Pokémon","Water_2","none","FALSE","Red","with_fins",0.61,15,"False",225,5120,70,1000000,"water","none","FALSE","FALSE",45,67,60,35,55,56,318,"male","Lightningrod"
"119",119,"Seaking",1,"Goldfish Pokémon","Water_2","none","FALSE","Red","with_fins",1.3,39,"False",60,5120,70,1000000,"water","none","FALSE","FALSE",80,101,65,58,80,68,452,"male","Swift Swim"
"120",120,"Staryu",1,"Starshape Pokémon","Water_3","none","FALSE","Brown","head_base",0.79,34.5,"False",225,5120,70,1250000,"water","none","FALSE","FALSE",30,45,49,70,60,85,339,"genderless","Illuminate"
"121",121,"Starmie",1,"Mysterious Pokémon","Water_3","none","FALSE","Purple","head_base",1.09,80,"False",60,5120,70,1250000,"water","psychic","TRUE","FALSE",60,67,85,100,93,115,520,"genderless","Natural Cure"
"122",122,"Mr. Mime",1,"Barrier Pokémon","Human-Like","none","FALSE","Pink","bipedal_tailless",1.3,54.5,"False",45,6400,70,1000000,"psychic","fairy","TRUE","FALSE",40,45,65,100,120,90,460,"female","Soundproof"
"123",123,"Scyther",1,"Mantis Pokémon","Bug","none","FALSE","Green","four_wings",1.5,56,"False",45,6400,70,1000000,"bug","flying","TRUE","FALSE",70,110,80,55,80,105,500,"female","Steadfast"
"124",124,"Jynx",1,"Humanshape Pokémon","Human-Like","none","FALSE","Red","bipedal_tailless",1.4,40.6,"False",45,6400,70,1000000,"ice","psychic","TRUE","FALSE",65,50,38,103,95,95,446,"female","Oblivious"
"125",125,"Electabuzz",1,"Electric Pokémon","Human-Like","none","FALSE","Yellow","bipedal_tailed",1.09,30,"False",45,6400,70,1000000,"electric","none","FALSE","FALSE",65,83,57,104,85,94,488,"male","Static"
