"","pokedex_number","name","generation","category","egg_group_1","egg_group_2","has_egg_group_2","color","body_style","height_m","weight_kg","abilities","ability_1","ability_2","ability_3","ability_4","ability_5","ability_6","no_of_abilities","has_mega_evolution","catch_rate","base_egg_steps","base_friendship","experience_growth","has_gender","prob_male","type_1","type_2","has_type_2","is_legendary","hp","attack","defense","sp_attack","sp_defense","speed","total"
"19",19,"Rattata",1,"Mouse","Field","none","FALSE","Purple","quadruped",0.3,3.5,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']","Run Away","Guts","Hustle","Gluttony","Hustle","Thick Fat",6,"False",255,3840,70,1000000,"True",0.5,"normal","dark","TRUE","FALSE",30,56,35,25,35,72,253
"20",20,"Raticate",1,"Mouse","Field","none","FALSE","Brown","quadruped",0.71,18.5,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']","Run Away","Guts","Hustle","Gluttony","Hustle","Thick Fat",6,"False",127,3840,70,1000000,"True",0.5,"normal","dark","TRUE","FALSE",75,71,70,40,80,77,413
"21",21,"Spearow",1,"Tiny Bird","Flying","none","FALSE","Brown","two_wings",0.3,2,"['Keen Eye', 'Sniper']","Keen Eye","Sniper","none","none","none","none",2,"False",255,3840,70,1000000,"True",0.5,"normal","flying","TRUE","FALSE",40,60,30,31,31,70,262
"22",22,"Fearow",1,"Beak","Flying","none","FALSE","Brown","two_wings",1.19,38,"['Keen Eye', 'Sniper']","Keen Eye","Sniper","none","none","none","none",2,"False",90,3840,70,1000000,"True",0.5,"normal","flying","TRUE","FALSE",65,90,65,61,61,100,442
"23",23,"Ekans",1,"Snake","Field","Dragon","TRUE","Purple","serpentine_body",2.01,6.9,"['Intimidate', 'Shed Skin', 'Unnerve']","Intimidate","Shed Skin","Unnerve","none","none","none",3,"False",255,5120,70,1000000,"True",0.5,"poison","none","FALSE","FALSE",35,60,44,40,54,55,288
"24",24,"Arbok",1,"Cobra","Field","Dragon","TRUE","Purple","serpentine_body",3.51,65,"['Intimidate', 'Shed Skin', 'Unnerve']","Intimidate","Shed Skin","Unnerve","none","none","none",3,"False",90,5120,70,1000000,"True",0.5,"poison","none","FALSE","FALSE",60,95,69,65,79,80,448
"25",25,"Pikachu",1,"Mouse","Field","Fairy","TRUE","Yellow","quadruped",0.41,6,"['Static', 'Lightningrod']","Static","Lightningrod","none","none","none","none",2,"False",190,2560,70,1000000,"True",0.5,"electric","none","FALSE","FALSE",35,55,40,50,50,90,320
"26",26,"Raichu",1,"Mouse","Field","Fairy","TRUE","Yellow","bipedal_tailed",0.79,30,"['Static', 'Lightningrod', 'Surge Surfer']","Static","Lightningrod","Surge Surfer","none","none","none",3,"False",75,2560,70,1000000,"True",0.5,"electric","electric","TRUE","FALSE",60,85,50,95,85,110,485
"27",27,"Sandshrew",1,"Mouse","Field","none","FALSE","Yellow","bipedal_tailed",0.61,12,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']","Sand Veil","Sand Rush","Snow Cloak","Slush Rush","none","none",4,"False",255,5120,70,1000000,"True",0.5,"ground","ice","TRUE","FALSE",50,75,90,10,35,40,300
"28",28,"Sandslash",1,"Mouse","Field","none","FALSE","Yellow","bipedal_tailed",0.99,29.5,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']","Sand Veil","Sand Rush","Snow Cloak","Slush Rush","none","none",4,"False",90,5120,70,1000000,"True",0.5,"ground","ice","TRUE","FALSE",75,100,120,25,65,65,450
"29",29,"Nidoran♀",1,"Poison Pin","Monster","Field","TRUE","Blue","quadruped",0.41,7,"['Poison Point', 'Rivalry', 'Hustle']","Poison Point","Rivalry","Hustle","none","none","none",3,"False",235,5120,70,1059860,"True",0,"poison","none","FALSE","FALSE",55,47,52,40,40,41,275
"30",30,"Nidorina",1,"Poison Pin","Undiscovered","none","FALSE","Blue","quadruped",0.79,20,"['Poison Point', 'Rivalry', 'Hustle']","Poison Point","Rivalry","Hustle","none","none","none",3,"False",120,5120,70,1059860,"True",0,"poison","none","FALSE","FALSE",70,62,67,55,55,56,365
"31",31,"Nidoqueen",1,"Drill","Undiscovered","none","FALSE","Blue","bipedal_tailed",1.3,60,"['Poison Point', 'Rivalry', 'Sheer Force']","Poison Point","Rivalry","Sheer Force","none","none","none",3,"False",45,5120,70,1059860,"True",0,"poison","ground","TRUE","FALSE",90,92,87,75,85,76,505
"32",32,"Nidoran♂",1,"Poison Pin","Monster","Field","TRUE","Purple","quadruped",0.51,9,"['Poison Point', 'Rivalry', 'Hustle']","Poison Point","Rivalry","Hustle","none","none","none",3,"False",235,5120,70,1059860,"True",1,"poison","none","FALSE","FALSE",46,57,40,40,40,50,273
"33",33,"Nidorino",1,"Poison Pin","Monster","Field","TRUE","Purple","quadruped",0.89,19.5,"['Poison Point', 'Rivalry', 'Hustle']","Poison Point","Rivalry","Hustle","none","none","none",3,"False",120,5120,70,1059860,"True",1,"poison","none","FALSE","FALSE",61,72,57,55,55,65,365
"34",34,"Nidoking",1,"Drill","Monster","Field","TRUE","Purple","bipedal_tailed",1.4,62,"['Poison Point', 'Rivalry', 'Sheer Force']","Poison Point","Rivalry","Sheer Force","none","none","none",3,"False",45,5120,70,1059860,"True",1,"poison","ground","TRUE","FALSE",81,102,77,85,75,85,505
"35",35,"Clefairy",1,"Fairy","Fairy","none","FALSE","Pink","bipedal_tailed",0.61,7.5,"['Cute Charm', 'Magic Guard', 'Friend Guard']","Cute Charm","Magic Guard","Friend Guard","none","none","none",3,"False",150,2560,140,800000,"True",0.25,"fairy","none","FALSE","FALSE",70,45,48,60,65,35,323
"36",36,"Clefable",1,"Fairy","Fairy","none","FALSE","Pink","bipedal_tailed",1.3,40,"['Cute Charm', 'Magic Guard', 'Unaware']","Cute Charm","Magic Guard","Unaware","none","none","none",3,"False",25,2560,140,800000,"True",0.25,"fairy","none","FALSE","FALSE",95,70,73,95,90,60,483
"37",37,"Vulpix",1,"Fox","Field","none","FALSE","Brown","quadruped",0.61,9.9,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']","Flash Fire","Drought","Snow Cloak","Snow Warning","none","none",4,"False",190,5120,70,1000000,"True",0.25,"fire","ice","TRUE","FALSE",38,41,40,50,65,65,299
"38",38,"Ninetales",1,"Fox","Field","none","FALSE","Yellow","quadruped",1.09,19.9,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']","Flash Fire","Drought","Snow Cloak","Snow Warning","none","none",4,"False",75,5120,70,1000000,"True",0.25,"fire","ice","TRUE","FALSE",73,67,75,81,100,109,505
"39",39,"Jigglypuff",1,"Balloon","Fairy","none","FALSE","Pink","bipedal_tailless",0.51,5.5,"['Cute Charm', 'Competitive', 'Friend Guard']","Cute Charm","Competitive","Friend Guard","none","none","none",3,"False",170,2560,70,800000,"True",0.25,"normal","fairy","TRUE","FALSE",115,45,20,45,25,20,270
"40",40,"Wigglytuff",1,"Balloon","Fairy","none","FALSE","Pink","bipedal_tailless",0.99,12,"['Cute Charm', 'Competitive', 'Frisk']","Cute Charm","Competitive","Frisk","none","none","none",3,"False",50,2560,70,800000,"True",0.25,"normal","fairy","TRUE","FALSE",140,70,45,85,50,45,435
"41",41,"Zubat",1,"Bat","Flying","none","FALSE","Purple","two_wings",0.79,7.5,"['Inner Focus', 'Infiltrator']","Inner Focus","Infiltrator","none","none","none","none",2,"False",255,3840,70,1000000,"True",0.5,"poison","flying","TRUE","FALSE",40,45,35,30,40,55,245
"42",42,"Golbat",1,"Bat","Flying","none","FALSE","Purple","two_wings",1.6,55,"['Inner Focus', 'Infiltrator']","Inner Focus","Infiltrator","none","none","none","none",2,"False",90,3840,70,1000000,"True",0.5,"poison","flying","TRUE","FALSE",75,80,70,65,75,90,455
"43",43,"Oddish",1,"Weed","Grass","none","FALSE","Blue","head_legs",0.51,5.4,"['Chlorophyll', 'Run Away']","Chlorophyll","Run Away","none","none","none","none",2,"False",255,5120,70,1059860,"True",0.5,"grass","poison","TRUE","FALSE",45,50,55,75,65,30,320
"44",44,"Gloom",1,"Weed","Grass","none","FALSE","Blue","bipedal_tailless",0.79,8.6,"['Chlorophyll', 'Stench']","Chlorophyll","Stench","none","none","none","none",2,"False",120,5120,70,1059860,"True",0.5,"grass","poison","TRUE","FALSE",60,65,70,85,75,40,395
"45",45,"Vileplume",1,"Flower","Grass","none","FALSE","Red","bipedal_tailless",1.19,18.6,"['Chlorophyll', 'Effect Spore']","Chlorophyll","Effect Spore","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.5,"grass","poison","TRUE","FALSE",75,80,85,110,90,50,490
"46",46,"Paras",1,"Mushroom","Bug","Grass","TRUE","Red","insectoid",0.3,5.4,"['Effect Spore', 'Dry Skin', 'Damp']","Effect Spore","Dry Skin","Damp","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"bug","grass","TRUE","FALSE",35,70,55,45,55,25,285
"47",47,"Parasect",1,"Mushroom","Bug","Grass","TRUE","Red","insectoid",0.99,29.5,"['Effect Spore', 'Dry Skin', 'Damp']","Effect Spore","Dry Skin","Damp","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"bug","grass","TRUE","FALSE",60,95,80,60,80,30,405
"48",48,"Venonat",1,"Insect","Bug","none","FALSE","Purple","bipedal_tailless",0.99,30,"['Compoundeyes', 'Tinted Lens', 'Run Away']","Compoundeyes","Tinted Lens","Run Away","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"bug","poison","TRUE","FALSE",60,55,50,40,55,45,305
"49",49,"Venomoth",1,"Poison Moth","Bug","none","FALSE","Purple","four_wings",1.5,12.5,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']","Shield Dust","Tinted Lens","Wonder Skin ","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"bug","poison","TRUE","FALSE",70,65,60,90,75,90,450
"50",50,"Diglett",1,"Mole","Field","none","FALSE","Brown","head_base",0.2,0.8,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']","Sand Veil","Arena Trap","Sand Force","Sand Veil","Tangling Hair","Sand Force",6,"False",255,5120,70,1000000,"True",0.5,"ground","ground","TRUE","FALSE",10,55,30,35,45,90,265
"51",51,"Dugtrio",1,"Mole","Field","none","FALSE","Brown","multiple_bodies",0.71,33.3,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']","Sand Veil","Arena Trap","Sand Force","Sand Veil","Tangling Hair","Sand Force",6,"False",50,5120,70,1000000,"True",0.5,"ground","ground","TRUE","FALSE",35,100,60,50,70,110,425
"52",52,"Meowth",1,"Scratch Cat","Field","none","FALSE","Yellow","quadruped",0.41,4.2,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']","Pickup","Technician","Unnerve","Pickup","Technician","Rattled",6,"False",255,5120,70,1000000,"True",0.5,"normal","dark","TRUE","FALSE",40,35,35,50,40,90,290
"53",53,"Persian",1,"Classy Cat","Field","none","FALSE","Yellow","quadruped",0.99,32,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']","Limber","Technician","Unnerve","Fur Coat","Technician","Rattled",6,"False",90,5120,70,1000000,"True",0.5,"normal","dark","TRUE","FALSE",65,60,60,75,65,115,440
"54",54,"Psyduck",1,"Duck","Water_1","Field","TRUE","Yellow","bipedal_tailed",0.79,19.6,"['Damp', 'Cloud Nine', 'Swift Swim']","Damp","Cloud Nine","Swift Swim","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"water","none","FALSE","FALSE",50,52,48,65,50,55,320
"55",55,"Golduck",1,"Duck","Water_1","Field","TRUE","Blue","bipedal_tailed",1.7,76.6,"['Damp', 'Cloud Nine', 'Swift Swim']","Damp","Cloud Nine","Swift Swim","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"water","none","FALSE","FALSE",80,82,78,95,80,85,500
"56",56,"Mankey",1,"Pig Monkey","Field","none","FALSE","Brown","bipedal_tailed",0.51,28,"['Vital Spirit', 'Anger Point', 'Defiant']","Vital Spirit","Anger Point","Defiant","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"fighting","none","FALSE","FALSE",40,80,35,35,45,70,305
"57",57,"Primeape",1,"Pig Monkey","Field","none","FALSE","Brown","bipedal_tailed",0.99,32,"['Vital Spirit', 'Anger Point', 'Defiant']","Vital Spirit","Anger Point","Defiant","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"fighting","none","FALSE","FALSE",65,105,60,60,70,95,455
"58",58,"Growlithe",1,"Puppy","Field","none","FALSE","Brown","quadruped",0.71,19,"['Intimidate', 'Flash Fire', 'Justified']","Intimidate","Flash Fire","Justified","none","none","none",3,"False",190,5120,70,1250000,"True",0.75,"fire","none","FALSE","FALSE",55,70,45,70,50,60,350
"59",59,"Arcanine",1,"Legendary","Field","none","FALSE","Brown","quadruped",1.91,155,"['Intimidate', 'Flash Fire', 'Justified']","Intimidate","Flash Fire","Justified","none","none","none",3,"False",75,5120,70,1250000,"True",0.75,"fire","none","FALSE","FALSE",90,110,80,100,80,95,555
"60",60,"Poliwag",1,"Tadpole","Water_1","none","FALSE","Blue","head_legs",0.61,12.4,"['Water Absorb', 'Damp', 'Swift Swim']","Water Absorb","Damp","Swift Swim","none","none","none",3,"False",255,5120,70,1059860,"True",0.5,"water","none","FALSE","FALSE",40,50,40,40,40,90,300
"61",61,"Poliwhirl",1,"Tadpole","Water_1","none","FALSE","Blue","bipedal_tailless",0.99,20,"['Water Absorb', 'Damp', 'Swift Swim']","Water Absorb","Damp","Swift Swim","none","none","none",3,"False",120,5120,70,1059860,"True",0.5,"water","none","FALSE","FALSE",65,65,65,50,50,90,385
"62",62,"Poliwrath",1,"Tadpole","Water_1","none","FALSE","Blue","bipedal_tailless",1.3,54,"['Water Absorb', 'Damp', 'Swift Swim']","Water Absorb","Damp","Swift Swim","none","none","none",3,"False",45,5120,70,1059860,"True",0.5,"water","fighting","TRUE","FALSE",90,95,95,70,90,70,510
"63",63,"Abra",1,"Psi","Human-Like","none","FALSE","Brown","bipedal_tailed",0.89,19.5,"['Synchronize', 'Inner Focus', 'Magic Guard']","Synchronize","Inner Focus","Magic Guard","none","none","none",3,"False",200,5120,70,1059860,"True",0.75,"psychic","none","FALSE","FALSE",25,20,15,105,55,90,310
"64",64,"Kadabra",1,"Psi","Human-Like","none","FALSE","Brown","bipedal_tailed",1.3,56.5,"['Synchronize', 'Inner Focus', 'Magic Guard']","Synchronize","Inner Focus","Magic Guard","none","none","none",3,"False",100,5120,70,1059860,"True",0.75,"psychic","none","FALSE","FALSE",40,35,30,120,70,105,400
"65",65,"Alakazam",1,"Psi","Human-Like","none","FALSE","Brown","bipedal_tailless",1.5,48,"['Synchronize', 'Inner Focus', 'Magic Guard']","Synchronize","Inner Focus","Magic Guard","none","none","none",3,"True",50,5120,70,1059860,"True",0.75,"psychic","none","FALSE","FALSE",55,50,65,175,105,150,600
"66",66,"Machop",1,"Superpower","Human-Like","none","FALSE","Grey","bipedal_tailed",0.79,19.5,"['Guts', 'No Guard', 'Steadfast']","Guts","No Guard","Steadfast","none","none","none",3,"False",180,5120,70,1059860,"True",0.75,"fighting","none","FALSE","FALSE",70,80,50,35,35,35,305
"67",67,"Machoke",1,"Superpower","Human-Like","none","FALSE","Grey","bipedal_tailless",1.5,70.5,"['Guts', 'No Guard', 'Steadfast']","Guts","No Guard","Steadfast","none","none","none",3,"False",90,5120,70,1059860,"True",0.75,"fighting","none","FALSE","FALSE",80,100,70,50,60,45,405
"68",68,"Machamp",1,"Superpower","Human-Like","none","FALSE","Grey","bipedal_tailless",1.6,130,"['Guts', 'No Guard', 'Steadfast']","Guts","No Guard","Steadfast","none","none","none",3,"False",45,5120,70,1059860,"True",0.75,"fighting","none","FALSE","FALSE",90,130,80,65,85,55,505
"69",69,"Bellsprout",1,"Flower","Grass","none","FALSE","Green","bipedal_tailless",0.71,4,"['Chlorophyll', 'Gluttony']","Chlorophyll","Gluttony","none","none","none","none",2,"False",255,5120,70,1059860,"True",0.5,"grass","poison","TRUE","FALSE",50,75,35,70,30,40,300
"70",70,"Weepinbell",1,"Flycatcher","Grass","none","FALSE","Green","head_base",0.99,6.4,"['Chlorophyll', 'Gluttony']","Chlorophyll","Gluttony","none","none","none","none",2,"False",120,5120,70,1059860,"True",0.5,"grass","poison","TRUE","FALSE",65,90,50,85,45,55,390
"71",71,"Victreebel",1,"Flycatcher","Grass","none","FALSE","Green","head_base",1.7,15.5,"['Chlorophyll', 'Gluttony']","Chlorophyll","Gluttony","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.5,"grass","poison","TRUE","FALSE",80,105,65,100,70,70,490
"72",72,"Tentacool",1,"Jellyfish","Water_3","none","FALSE","Blue","several_limbs",0.89,45.5,"['Clear Body', 'Liquid Ooze', 'Rain Dish']","Clear Body","Liquid Ooze","Rain Dish","none","none","none",3,"False",190,5120,70,1250000,"True",0.5,"water","poison","TRUE","FALSE",40,40,35,50,100,70,335
"73",73,"Tentacruel",1,"Jellyfish","Water_3","none","FALSE","Blue","several_limbs",1.6,55,"['Clear Body', 'Liquid Ooze', 'Rain Dish']","Clear Body","Liquid Ooze","Rain Dish","none","none","none",3,"False",60,5120,70,1250000,"True",0.5,"water","poison","TRUE","FALSE",80,70,65,80,120,100,515
"74",74,"Geodude",1,"Rock","Mineral","none","FALSE","Brown","head_arms",0.41,20,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","Rock Head","Sturdy","Sand Veil","Magnet Pull","Sturdy","Galvanize",6,"False",255,3840,70,1059860,"True",0.5,"rock","ground","TRUE","FALSE",40,80,100,30,30,20,300
"75",75,"Graveler",1,"Rock","Mineral","none","FALSE","Brown","bipedal_tailless",0.99,105,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","Rock Head","Sturdy","Sand Veil","Magnet Pull","Sturdy","Galvanize",6,"False",120,3840,70,1059860,"True",0.5,"rock","ground","TRUE","FALSE",55,95,115,45,45,35,390
"76",76,"Golem",1,"Megaton","Mineral","none","FALSE","Brown","bipedal_tailless",1.4,300,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","Rock Head","Sturdy","Sand Veil","Magnet Pull","Sturdy","Galvanize",6,"False",45,3840,70,1059860,"True",0.5,"rock","ground","TRUE","FALSE",80,120,130,55,65,45,495
"77",77,"Ponyta",1,"Fire Horse","Field","none","FALSE","Yellow","quadruped",0.99,30,"['Run Away', 'Flash Fire', 'Flame Body']","Run Away","Flash Fire","Flame Body","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"fire","none","FALSE","FALSE",50,85,55,65,65,90,410
"78",78,"Rapidash",1,"Fire Horse","Field","none","FALSE","Yellow","quadruped",1.7,95,"['Run Away', 'Flash Fire', 'Flame Body']","Run Away","Flash Fire","Flame Body","none","none","none",3,"False",60,5120,70,1000000,"True",0.5,"fire","none","FALSE","FALSE",65,100,70,80,80,105,500
"79",79,"Slowpoke",1,"Dopey","Monster","Water_1","TRUE","Pink","quadruped",1.19,36,"['Oblivious', 'Own Tempo', 'Regenerator']","Oblivious","Own Tempo","Regenerator","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"water","psychic","TRUE","FALSE",90,65,65,40,40,15,315
"80",80,"Slowbro",1,"Hermit Crab","Monster","Water_1","TRUE","Pink","bipedal_tailed",1.6,78.5,"['Oblivious', 'Own Tempo', 'Regenerator']","Oblivious","Own Tempo","Regenerator","none","none","none",3,"True",75,5120,70,1000000,"True",0.5,"water","psychic","TRUE","FALSE",95,75,180,130,80,30,590
"81",81,"Magnemite",1,"Magnet","Mineral","none","FALSE","Grey","head_arms",0.3,6,"['Magnet Pull', 'Sturdy', 'Analytic']","Magnet Pull","Sturdy","Analytic","none","none","none",3,"False",190,5120,70,1000000,"False",0,"electric","steel","TRUE","FALSE",25,35,70,95,55,45,325
"82",82,"Magneton",1,"Magnet","Mineral","none","FALSE","Grey","multiple_bodies",0.99,60,"['Magnet Pull', 'Sturdy', 'Analytic']","Magnet Pull","Sturdy","Analytic","none","none","none",3,"False",60,5120,70,1000000,"False",0,"electric","steel","TRUE","FALSE",50,60,95,120,70,70,465
"83",83,"Farfetch'd",1,"Wild Duck","Flying","Field","TRUE","Brown","two_wings",0.79,15,"['Keen Eye', 'Inner Focus', 'Defiant']","Keen Eye","Inner Focus","Defiant","none","none","none",3,"False",45,5120,70,1000000,"True",0.5,"normal","flying","TRUE","FALSE",52,90,55,58,62,60,377
"84",84,"Doduo",1,"Twin Bird","Flying","none","FALSE","Brown","head_legs",1.4,39.2,"['Run Away', 'Early Bird', 'Tangled Feet']","Run Away","Early Bird","Tangled Feet","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"normal","flying","TRUE","FALSE",35,85,45,35,35,75,310
"85",85,"Dodrio",1,"Triple Bird","Flying","none","FALSE","Brown","head_legs",1.8,85.2,"['Run Away', 'Early Bird', 'Tangled Feet']","Run Away","Early Bird","Tangled Feet","none","none","none",3,"False",45,5120,70,1000000,"True",0.5,"normal","flying","TRUE","FALSE",60,110,70,60,60,110,470
"86",86,"Seel",1,"Sea Lion","Water_1","Field","TRUE","White","with_fins",1.09,90,"['Thick Fat', 'Hydration', 'Ice Body']","Thick Fat","Hydration","Ice Body","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"water","none","FALSE","FALSE",65,45,55,45,70,45,325
"87",87,"Dewgong",1,"Sea Lion","Water_1","Field","TRUE","White","with_fins",1.7,120,"['Thick Fat', 'Hydration', 'Ice Body']","Thick Fat","Hydration","Ice Body","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"water","ice","TRUE","FALSE",90,70,80,70,95,70,475
"88",88,"Grimer",1,"Sludge","Amorphous","none","FALSE","Purple","head_arms",0.89,30,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']","Stench","Sticky Hold","Poison Touch","Poison Touch","Gluttony","Power of Alchemy",6,"False",190,5120,70,1000000,"True",0.5,"poison","poison","TRUE","FALSE",80,80,50,40,50,25,325
